Source,Target,Weight
Evan,Atlas,21
Evan,Bailey,82
Evan,Eli,57
Evan,Merav,112
Evan,Ran,80
Evan,Rex,63
Evan,Soumil,49
Evan,Vanya,44
Atlas,Eli,78
Atlas,Bailey,33
Atlas,Merav,7
Atlas,Ran,26
Atlas,Rex,12
Atlas,Soumil,10
Atlas,Vanya,13
Bailey,Eli,74
Bailey,Merav,5
Bailey,Ran,93
Bailey,Rex,34
Bailey,Soumil,58
Bailey,Vanya,38
Eli,Merav,9
Eli,Ran,51
Eli,Rex,59
Eli,Soumil,13
Eli,Vanya,24
Merav,Ran,7
Merav,Rex,7
Merav,Soumil,5
Merav,Vanya,19
Ran,Rex,41
Ran,Soumil,12
Ran,Vanya,18
Rex,Soumil,83
Rex,Vanya,6





